Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Score,Perceptions of corruption,Year
Hungary,10.358,0.943,68.0,0.755,-0.186,5.992,0.876,2021
Thailand,9.805,0.888,67.401,0.884,0.287,5.985,0.895,2021
Nicaragua,8.62,0.864,67.657,0.836,0.02,5.972,0.664,2021
Japan,10.611,0.884,75.1,0.796,-0.258,5.94,0.638,2021
Argentina,9.962,0.898,69.0,0.828,-0.182,5.929,0.834,2021
Portugal,10.421,0.879,72.6,0.892,-0.244,5.929,0.887,2021
Honduras,8.648,0.812,67.3,0.857,0.081,5.919,0.809,2021
Croatia,10.217,0.924,70.799,0.754,-0.118,5.882,0.939,2021
Philippines,9.076,0.83,62.0,0.917,-0.097,5.88,0.742,2021
South Korea,10.651,0.799,73.9,0.672,-0.083,5.845,0.727,2021
Peru,9.458,0.832,68.25,0.822,-0.154,5.84,0.891,2021
Bosnia and Herzegovina,9.59,0.87,68.098,0.706,0.113,5.813,0.931,2021
Moldova,9.454,0.857,65.699,0.822,-0.079,5.766,0.918,2021
Ecuador,9.313,0.821,68.8,0.842,-0.124,5.764,0.843,2021
Kyrgyzstan,8.538,0.893,64.401,0.935,0.119,5.744,0.908,2021
Greece,10.279,0.823,72.6,0.582,-0.288,5.723,0.823,2021
Bolivia,9.046,0.81,63.901,0.875,-0.077,5.716,0.839,2021
Mongolia,9.4,0.935,62.5,0.708,0.116,5.677,0.856,2021
Paraguay,9.448,0.893,65.9,0.876,0.028,5.653,0.882,2021
Montenegro,9.94,0.858,68.699,0.708,-0.034,5.581,0.812,2021
Dominican Republic,9.802,0.853,66.102,0.86,-0.133,5.545,0.714,2021
North Cyprus,10.576,0.82,73.898,0.795,0.012,5.536,0.626,2021
Belarus,9.853,0.91,66.253,0.65,-0.18,5.534,0.627,2021
Russia,10.189,0.903,64.703,0.718,-0.111,5.477,0.845,2021
Hong Kong S.A.R. of China,11.0,0.836,76.82,0.717,0.067,5.477,0.403,2021
Tajikistan,8.091,0.86,64.281,0.832,-0.056,5.466,0.553,2021
Vietnam,8.973,0.85,68.034,0.94,-0.098,5.411,0.796,2021
Libya,9.622,0.827,62.3,0.771,-0.087,5.41,0.667,2021
